night,trk_sub,linkage_id,detection_index,image_name,catalog_name,catalog_path,manifest_file_name,manifest_path,detection_key,final_paper_status,production_ades_start_mjd_utc,l2_manifest_start_mjd_utc,start_mjd_disagreement_s,manifest_exposure_s,exposure_s,exposure_source,midpoint_correction_s,corrected_midpoint_mjd_utc,corrected_midpoint_isot_utc,lin_speed_arcsec_per_day,link_linear_speed_arcsec_per_hour,link_speed_within_production_3_to_63_arcsec_per_hour,equivalent_shift_at_min_speed_arcsec,equivalent_shift_at_max_speed_arcsec,equivalent_shift_at_link_speed_arcsec
20251208,00000cR,1115,0,OBJ_MP_1103_0311.fits.gz,OBJ_MP_1103_0311_cat.fits.gz,/processed1/20251208/L2/OBJ_MP_1103_0311_cat.fits.gz,OBJ_MP_1103_0311_cat.fits.gz,/processed1/20251208/L2/OBJ_MP_1103_0311_cat.fits.gz,/processed1/20251208/L2/OBJ_MP_1103_0311_cat.fits.gz::8268,retained_after_posthoc_audit,61017.759598414355,61017.759598414355,0.0,30.003,30.003,l2_manifest,15.0015,61017.75977204283,2025-12-08T18:14:04.304501,301.5272054278414,12.563633559493391,True,0.01250125,0.26252625,0.05235370801187225
20251208,00000cR,1115,1,OBJ_MP_1103_0338.fits.gz,OBJ_MP_1103_0338_cat.fits.gz,/processed1/20251208/L2/OBJ_MP_1103_0338_cat.fits.gz,OBJ_MP_1103_0338_cat.fits.gz,/processed1/20251208/L2/OBJ_MP_1103_0338_cat.fits.gz,/processed1/20251208/L2/OBJ_MP_1103_0338_cat.fits.gz::8094,retained_after_posthoc_audit,61017.78582819444,61017.78582819444,0.0,30.003,30.003,l2_manifest,15.0015,61017.78600182292,2025-12-08T18:51:50.557500,301.5272054278414,12.563633559493391,True,0.01250125,0.26252625,0.05235370801187225
20251208,00000cR,1115,2,OBJ_MP_1103_0365.fits.gz,OBJ_MP_1103_0365_cat.fits.gz,/processed1/20251208/L2/OBJ_MP_1103_0365_cat.fits.gz,OBJ_MP_1103_0365_cat.fits.gz,/processed1/20251208/L2/OBJ_MP_1103_0365_cat.fits.gz,/processed1/20251208/L2/OBJ_MP_1103_0365_cat.fits.gz::7603,retained_after_posthoc_audit,61017.81204148149,61017.81204148149,0.0,30.006,30.006,l2_manifest,15.003,61017.81221512733,2025-12-08T19:29:35.387001,301.5272054278414,12.563633559493391,True,0.0125025,0.2625525,0.05235894285918871
20251208,00000cT,1141,0,OBJ_MP_0967_0314.fits.gz,OBJ_MP_0967_0314_cat.fits.gz,/processed1/20251208/L2/OBJ_MP_0967_0314_cat.fits.gz,OBJ_MP_0967_0314_cat.fits.gz,/processed1/20251208/L2/OBJ_MP_0967_0314_cat.fits.gz,/processed1/20251208/L2/OBJ_MP_0967_0314_cat.fits.gz::31906,retained_after_posthoc_audit,61017.7626025,61017.7626025,0.0,30.002,30.002,l2_manifest,15.001,61017.76277612268,2025-12-08T18:18:23.857000,311.0701444369908,12.96125601820795,True,0.012500833333333333,0.2625175,0.05400883375809374
20251208,00000cT,1141,1,OBJ_MP_0967_0341.fits.gz,OBJ_MP_0967_0341_cat.fits.gz,/processed1/20251208/L2/OBJ_MP_0967_0341_cat.fits.gz,OBJ_MP_0967_0341_cat.fits.gz,/processed1/20251208/L2/OBJ_MP_0967_0341_cat.fits.gz,/processed1/20251208/L2/OBJ_MP_0967_0341_cat.fits.gz::31969,retained_after_posthoc_audit,61017.78884447917,61017.78884447917,0.0,30.002,30.002,l2_manifest,15.001,61017.78901810185,2025-12-08T18:56:11.164000,311.0701444369908,12.96125601820795,True,0.012500833333333333,0.2625175,0.05400883375809374
20251208,00000cT,1141,2,OBJ_MP_0967_0368.fits.gz,OBJ_MP_0967_0368_cat.fits.gz,/processed1/20251208/L2/OBJ_MP_0967_0368_cat.fits.gz,OBJ_MP_0967_0368_cat.fits.gz,/processed1/20251208/L2/OBJ_MP_0967_0368_cat.fits.gz,/processed1/20251208/L2/OBJ_MP_0967_0368_cat.fits.gz::35026,retained_after_posthoc_audit,61017.815052743055,61017.815052743055,0.0,30.003,30.003,l2_manifest,15.0015,61017.81522637153,2025-12-08T19:33:55.558500,311.0701444369908,12.96125601820795,True,0.01250125,0.26252625,0.054010633932540714
20251208,00000cs,449,0,OBJ_MP_1210_0055.fits.gz,OBJ_MP_1210_0055_cat.fits.gz,/processed1/20251208/L2/OBJ_MP_1210_0055_cat.fits.gz,OBJ_MP_1210_0055_cat.fits.gz,/processed1/20251208/L2/OBJ_MP_1210_0055_cat.fits.gz,/processed1/20251208/L2/OBJ_MP_1210_0055_cat.fits.gz::9381,retained_after_posthoc_audit,61017.452854953706,61017.452854953706,0.0,30.003,30.003,l2_manifest,15.0015,61017.45302858218,2025-12-08T10:52:21.669501,497.6980885870791,20.737420357794964,True,0.01250125,0.26252625,0.08641455874929477
20251208,00000cs,449,1,OBJ_MP_1210_0083.fits.gz,OBJ_MP_1210_0083_cat.fits.gz,/processed1/20251208/L2/OBJ_MP_1210_0083_cat.fits.gz,OBJ_MP_1210_0083_cat.fits.gz,/processed1/20251208/L2/OBJ_MP_1210_0083_cat.fits.gz,/processed1/20251208/L2/OBJ_MP_1210_0083_cat.fits.gz::9181,retained_after_posthoc_audit,61017.48187351852,61017.48187351852,0.0,30.003,30.003,l2_manifest,15.0015,61017.482047146994,2025-12-08T11:34:08.873500,497.6980885870791,20.737420357794964,True,0.01250125,0.26252625,0.08641455874929477
20251208,00000cs,449,2,OBJ_MP_1210_0111.fits.gz,OBJ_MP_1210_0111_cat.fits.gz,/processed1/20251208/L2/OBJ_MP_1210_0111_cat.fits.gz,OBJ_MP_1210_0111_cat.fits.gz,/processed1/20251208/L2/OBJ_MP_1210_0111_cat.fits.gz,/processed1/20251208/L2/OBJ_MP_1210_0111_cat.fits.gz::8505,retained_after_posthoc_audit,61017.51100258102,61017.51100258102,0.0,30.003,30.003,l2_manifest,15.0015,61017.5111762095,2025-12-08T12:16:05.624501,497.6980885870791,20.737420357794964,True,0.01250125,0.26252625,0.08641455874929477
20251209,00000e2,1083,0,OBJ_MP_0969_0457.fits.gz,OBJ_MP_0969_0457_cat.fits.gz,/processed1/20251209/L2/OBJ_MP_0969_0457_cat.fits.gz,OBJ_MP_0969_0457_cat.fits.gz,/processed1/20251209/L2/OBJ_MP_0969_0457_cat.fits.gz,/processed1/20251209/L2/OBJ_MP_0969_0457_cat.fits.gz::3285,retained_after_posthoc_audit,61018.846585810184,61018.846585810184,0.0,30.003,30.003,l2_manifest,15.0015,61018.84675943866,2025-12-09T20:19:20.015500,279.05819969104846,11.62742498712702,True,0.01250125,0.26252625,0.04845244887344055
