healpix_nside,pixel,ecliptic_lon_deg,ecliptic_lat_deg,detection_count
64,16799,44.296875,18.209956864283,2
64,16802,48.515625,18.209956864283,6
64,16804,51.328125,18.209956864283,3
64,16807,55.546875,18.209956864283,1
64,16826,82.265625,18.209956864283,3
64,16832,90.703125,18.209956864283,3
64,16833,92.109375,18.209956864283,3
64,16835,94.921875,18.209956864283,1
64,16838,99.140625,18.209956864283,1
64,16839,100.546875,18.209956864283,2
64,16840,101.953125,18.209956864283,6
64,16846,110.390625,18.209956864283,1
64,16848,113.203125,18.209956864283,1
64,16849,114.609375,18.209956864283,3
64,16850,116.015625,18.209956864283,2
64,16854,121.640625,18.209956864283,3
64,16855,123.04687499999994,18.209956864283,1
64,16857,125.859375,18.209956864283,1
64,16858,127.265625,18.209956864283,6
64,16859,128.671875,18.209956864283,3
64,16860,130.078125,18.209956864283,13
64,16861,131.484375,18.209956864283,6
64,16862,132.890625,18.209956864283,12
64,16863,134.296875,18.209956864283,20
64,16864,135.703125,18.209956864283,4
64,16866,138.515625,18.209956864283,2
64,16868,141.328125,18.209956864283,10
64,16870,144.140625,18.209956864283,9
64,16872,146.953125,18.209956864283,7
64,16876,152.578125,18.209956864283,1
64,16877,153.984375,18.209956864283,2
64,16880,158.203125,18.209956864283,3
64,16882,161.015625,18.209956864283,10
64,16884,163.828125,18.209956864283,4
64,16886,166.640625,18.209956864283,3
64,16890,172.265625,18.209956864283,2
64,16893,176.484375,18.209956864283,3
64,16905,-166.640625,18.209956864283,1
64,16915,-152.578125,18.209956864283,7
64,16921,-144.140625,18.209956864283,3
64,17025,1.40625,17.582776008425398,4
64,17027,4.21875,17.582776008425398,9
64,17029,7.03125,17.582776008425398,1
64,17030,8.4375,17.582776008425398,4
64,17032,11.25,17.582776008425398,1
64,17033,12.65625,17.582776008425398,13
64,17034,14.0625,17.582776008425398,3
64,17037,18.28125,17.582776008425398,4
64,17038,19.6875,17.582776008425398,2
64,17043,26.71875,17.582776008425398,4
64,17044,28.125,17.582776008425398,2
64,17045,29.53125,17.582776008425398,1
64,17046,30.9375,17.582776008425398,15
64,17047,32.34375,17.582776008425398,3
64,17048,33.75,17.582776008425398,6
64,17049,35.15625,17.582776008425398,3
64,17050,36.5625,17.582776008425398,6
64,17051,37.96875,17.582776008425398,19
64,17052,39.375,17.582776008425398,5
64,17053,40.78125,17.582776008425398,10
64,17054,42.1875,17.582776008425398,9
64,17055,43.59375,17.582776008425398,12
64,17056,45.0,17.582776008425398,12
64,17057,46.40625,17.582776008425398,22
64,17058,47.8125,17.582776008425398,7
64,17059,49.21875,17.582776008425398,12
64,17060,50.625,17.582776008425398,7
64,17061,52.03125,17.582776008425398,3
64,17062,53.4375,17.582776008425398,5
64,17063,54.84375,17.582776008425398,29
64,17064,56.25,17.582776008425398,2
64,17065,57.65625,17.582776008425398,5
64,17066,59.0625,17.582776008425398,3
64,17067,60.46875,17.582776008425398,7
64,17068,61.875,17.582776008425398,18
64,17069,63.28125,17.582776008425398,17
64,17070,64.6875,17.582776008425398,8
64,17071,66.09375,17.582776008425398,14
64,17072,67.5,17.582776008425398,1
64,17073,68.90625,17.582776008425398,16
64,17074,70.3125,17.582776008425398,15
64,17075,71.71875,17.582776008425398,3
64,17076,73.125,17.582776008425398,10
64,17078,75.9375,17.582776008425398,6
64,17079,77.34375,17.582776008425398,3
64,17080,78.75,17.582776008425398,6
64,17081,80.15625,17.582776008425398,5
64,17082,81.5625,17.582776008425398,9
64,17083,82.96875,17.582776008425398,10
64,17084,84.375,17.582776008425398,14
64,17085,85.78125,17.582776008425398,2
64,17086,87.1875,17.582776008425398,2
64,17087,88.59375,17.582776008425398,5
64,17088,90.0,17.582776008425398,20
64,17089,91.40625,17.582776008425398,14
64,17090,92.8125,17.582776008425398,8
64,17091,94.21875,17.582776008425398,12
64,17092,95.625,17.582776008425398,3
64,17093,97.03125,17.582776008425398,8
64,17094,98.4375,17.582776008425398,6
64,17095,99.84375,17.582776008425398,15
64,17096,101.25,17.582776008425398,23
64,17097,102.65625,17.582776008425398,12
64,17098,104.0625,17.582776008425398,7
64,17099,105.46875,17.582776008425398,19
64,17100,106.875,17.582776008425398,14
64,17101,108.28125,17.582776008425398,22
64,17102,109.6875,17.582776008425398,15
64,17103,111.09375,17.582776008425398,18
