object_key,detection_count,night_count,time_baseline_days
N:18174,21,10,50.04164240740647
N:28930,16,6,64.99080629630043
N:31648,9,4,11.075851192130358
N:72097,15,6,34.056597071758006
N:220371,13,6,49.005128564815095
N:1233,48,17,72.04148144675855
N:15036,37,11,68.05073494213138
N:22698,16,6,34.0375055787008
N:25649,12,3,5.073703923611902
N:39714,6,3,5.073703923611902
N:48471,12,4,11.053038391204609
N:50376,28,8,43.99703313657665
N:65152,43,10,68.10219413194136
N:67665,39,12,68.09131543981493
N:70789,16,5,18.1751572337962
N:92798,25,8,49.020085856478545
N:97523,20,5,34.0375055787008
N:98336,15,5,34.04426192129904
N:113618,5,3,11.07899194444326
N:152937,10,3,5.073703923611902
N:21235,24,8,50.02499722222274
N:1324,42,14,72.03982983796595
N:4680,22,8,47.0800989467607
N:22034,31,10,68.04910950231715
N:53132,18,6,34.04741406250105
N:56023,17,5,12.059765057871118
N:68096,23,6,34.07726557870774
N:158214,13,5,12.089325532411749
N:159703,19,4,11.080050902775838
N:8587,14,5,31.055139606476587
N:94343,14,6,34.024816944445774
N:220398,8,4,11.03436070602038
N:17208,8,4,12.020157812497928
N:112971,8,6,64.95947524305666
N:1173,39,13,72.03645091435465
N:11685,15,5,34.04125194445078
N:31246,22,9,61.98842537037126
N:44443,22,9,68.0635671412092
N:46475,18,8,68.07368259259238
N:51365,24,8,65.02380914352398
N:82248,9,4,33.99191480324225
N:93406,24,7,60.99786431713437
N:160717,18,8,68.0760330208359
N:17314,25,8,50.023359513885225
N:27672,16,6,60.95850800925837
N:32342,12,5,48.952794606477255
N:53614,9,5,30.984302500000922
N:59907,7,4,33.96330601851514
N:99510,6,3,5.063783055556996
N:99945,9,4,11.057927187495807
N:51621,1,1,0.0
N:68777,4,3,33.94259233796038
N:97048,9,5,34.040739085648966
N:107071,2,2,1.9739376967554563
N:109143,2,2,1.9554269444415695
N:129889,5,3,11.013409826387942
N:5471,31,10,72.02337046296452
N:8266,22,9,59.95272182870394
N:25031,8,4,33.98257895833376
N:33527,19,7,34.039869780091976
N:34348,29,10,62.009174571758194
N:38601,10,6,34.03279182870756
N:58964,17,7,34.03279182870756
N:66140,15,7,48.9611967013916
N:67794,16,7,34.040739085648966
N:71379,20,9,59.95272182870394
N:109184,13,6,12.075694710649259
N:124460,21,8,37.072388043983665
N:131646,27,7,34.042728796295705
N:147264,17,6,37.06658722222346
N:332793,1,1,0.0
S:2016rs68,1,1,0.0
N:90392,14,5,31.044573888888408
N:112439,7,4,4.125032511576137
N:183735,4,2,2.0047056712937774
N:3660,29,11,61.96040053240722
N:5411,25,9,59.897956018518016
N:9892,15,6,59.89880168981472
N:10118,22,9,37.01172964120633
N:11640,20,9,50.053091863424925
N:13529,20,8,59.89880168981472
N:19569,21,9,68.01365276620345
N:23222,30,10,97.93184743055463
N:41866,12,5,37.00892635416676
N:70375,15,6,22.07334876157256
N:90719,25,9,50.045555590280856
N:134724,16,7,49.00909887731541
N:159710,13,6,22.07334876157256
N:194543,13,6,22.089997303242853
N:26654,23,8,68.0183889583277
N:7240,50,20,70.79834974537516
N:13315,34,13,67.94503314814938
N:14744,39,13,67.9413062268577
N:22753,7,4,29.832807222221163
N:23488,37,10,42.825761689819046
N:31153,44,12,67.94503314814938
N:37567,30,11,64.93276875000447
N:43773,47,16,71.85251438657724
N:45372,50,16,77.75578232639236
N:50945,21,9,64.93405491898011
N:51018,28,11,49.936107835652365
N:58564,48,16,67.93949935185083
N:134710,38,12,67.94721265046246
N:55146,33,13,49.947084027779056
N:72292,3,3,33.95319131944416
N:103413,19,8,49.921339675922354
N:130530,31,12,64.89554460647923
N:178503,1,1,0.0
N:192893,33,10,42.969315567126614
N:350943,2,2,1.9057247800883488
N:867282,1,1,0.0
N:3402,18,8,42.88906497685821
N:571,64,24,133.8355608564816
N:6662,37,15,77.81237774305191
N:21557,45,17,70.80447972222464
N:21745,25,11,67.94139333333442
N:25552,45,16,70.80447972222464
N:33512,51,20,70.80361295138573
N:38531,39,16,70.79741428240959
N:40276,24,11,64.93638815972372
N:85554,35,12,64.9236632986067
N:96484,41,16,64.93914406249678
N:96963,26,11,60.92253392360726
N:92945,29,13,52.91396280092158
N:94092,24,8,33.984120057866676
N:165265,16,10,64.89163877314422
N:230700,17,8,42.88517370370391
N:251780,15,9,42.88517370370391
N:360493,1,1,0.0
N:15168,27,10,67.94298377314408
N:18293,31,13,97.86690093750076
N:23492,34,15,67.93700957176043
N:23809,25,11,52.92738126157201
N:25848,31,13,70.80536497684807
N:27714,40,16,70.80536497684807
N:28413,26,12,67.93700957176043
N:32836,26,11,52.92423535879789
N:51031,25,12,67.94298377314408
N:51770,33,14,67.94604732638982
N:83145,21,9,67.94604732638982
N:166399,2,1,0.03681268518266734
N:302784,5,5,33.94785440972191
N:347373,9,5,5.039438263891498
N:26234,29,10,60.90227443286858
N:67998,18,8,52.865339687501546
N:131089,30,11,60.90406799768243
N:134702,13,8,40.91302813657239
N:195937,14,8,37.00009997685265
N:235702,6,4,33.93327364583092
N:855014,10,6,33.98174991898122
N:114362,16,8,42.94620850694628
N:13480,26,12,61.91734508101217
N:15708,30,11,70.79981850694458
N:18500,30,13,70.79780874999415
N:20295,37,13,71.87768616897665
N:31507,24,12,67.9384910995359
N:31617,15,7,52.916679131943965
N:35988,37,12,67.93542754629016
N:40424,30,12,70.79981850694458
N:45552,30,12,67.9384910995359
N:86434,21,9,60.89222969907132
N:87834,23,9,52.87467986111005
N:51797,25,12,61.87446650463244
N:256508,4,4,30.850697430556465
N:5569,30,13,70.761001574072
N:448142,1,1,0.0
N:15464,44,16,97.83927778935322
N:347334,1,1,0.0
N:12675,33,14,71.80503974536987
N:13040,41,16,77.86979591435374
N:70045,32,14,77.86979591435374
N:72931,1,1,0.0
N:5035,49,17,70.8409931597198
N:13739,29,12,71.82638913194387
N:18155,32,13,97.80989423611027
N:85646,35,14,97.83575881944125
N:110450,36,15,70.8187736689797
N:840189,1,1,0.0
N:247231,2,2,1.8821601504678256
N:736948,1,1,0.0
N:70414,15,9,70.72058815971832
N:3849,32,15,133.76163428241125
N:7124,31,14,133.75779678241088
N:11038,25,11,71.82160672453756
N:34502,30,13,97.81657854166406
N:88912,18,10,61.852604120373144
N:291963,1,1,0.0
N:98473,19,9,60.85457641204266
N:209,32,12,133.75903254630248
N:408,37,15,133.76114527777827
N:1367,34,16,133.75322571759898
N:4327,30,14,70.82836181713355
N:7922,35,13,97.8167131018563
N:8126,37,13,97.82534879630111
N:15446,20,9,97.82126200231869
N:21011,28,13,97.83736163194408
N:38785,33,11,97.8167131018563
N:94376,23,12,70.81516709490825
N:6012,24,13,70.79823760416912
N:539889,1,1,0.0
N:627295,1,1,0.0
N:715829,1,1,0.0
N:1234,23,7,71.05034769675694
N:8024,13,6,65.07377083333267
N:12811,12,5,65.02271181712422
N:18883,9,3,11.10381103009422
N:20549,8,3,20.053908275462163
N:25902,5,2,2.0050952314777533
N:34367,3,3,11.10381103009422
N:66977,5,2,2.0050952314777533
N:71222,3,2,2.0050952314777533
N:74762,11,5,50.044777546296245
N:87302,11,4,20.05306641203788
N:93017,3,2,2.0050952314777533
N:134,33,12,71.0548896990731
N:6938,29,8,71.05114305555617
N:7036,17,6,65.07068350694317
N:16007,14,6,65.0185517708378
N:18998,28,8,68.11283586805803
N:43034,22,7,49.05675295138644
N:47607,9,3,5.150730405090144
N:49313,17,7,65.05047268518683
N:52259,5,4,11.105436655096128
N:73487,12,5,20.04276798610954
N:78155,10,5,61.03102053240582
N:103581,4,2,5.137862384261098
N:128088,2,2,1.9936285300937016
N:243636,10,4,11.096829837966652
N:310474,7,3,5.150730405090144
N:400,21,8,71.04851296295965
N:544,31,9,71.0544086342561
N:1224,30,11,72.09591790509148
N:38404,9,3,5.135232291664579
N:47137,9,4,17.053213912033243
N:50607,17,7,65.04986556712538
N:66036,13,5,50.06132111110492
N:87123,9,3,5.135232291664579
N:92592,9,3,5.135232291664579
N:40270,11,4,20.048398935185105
N:87615,1,1,0.0
N:469510,6,3,5.122185694446671
N:3950,25,10,71.03533847221843
N:22036,14,6,34.06923785879917
N:34372,12,6,50.023966412038135
N:42833,19,6,49.06223116898036
N:66009,15,6,34.06923785879917
N:79985,16,6,34.07112587962911
N:219612,23,9,68.10847129629838
N:24453,9,5,50.00115653935063
N:219086,11,3,5.121225868053443
N:14948,13,7,68.08880089120066
N:59852,7,3,5.084666030095832
N:13221,32,11,65.03627962963219
N:15637,13,5,49.00716006944276
N:27027,29,12,65.06618306713062
N:35402,18,6,44.03948359953938
N:66016,13,6,50.02227635416784
N:74819,12,6,61.03877179398114
N:87558,10,5,65.0321038657421
N:91863,4,2,2.0234216319440748
N:200396,12,4,34.080737511576444
N:401847,9,4,31.06679329861072
N:41165,13,7,50.045217546292406
N:44550,19,7,65.0345663541666
N:58680,12,5,34.04134739583242
N:4828,32,12,62.006408043984266
N:13304,20,8,50.05353401620232
N:24227,22,8,43.9992655555543
N:31348,15,7,60.98293320601806
N:35716,13,5,50.05353401620232
N:38057,31,9,62.05448774305842
N:41945,14,6,34.067625196759764
N:46717,15,4,34.072340879632975
N:51790,40,14,68.09958077546617
N:78061,16,5,34.072340879632975
N:49600,9,4,50.01323061342555
N:70035,22,8,44.011405057870434
N:9506,18,8,65.00266545139311
N:86379,6,4,11.0668642476885
N:106324,2,1,0.03444157407648163
N:192621,7,4,11.062252476855065
N:1936,42,16,72.03728364583367
N:6838,30,13,72.03266331018676
N:10243,14,7,68.04570903935382
N:15781,26,10,68.0745153240714
N:28349,36,12,61.96170719907241
N:37304,12,5,34.038027303242416
N:63986,16,5,34.0449849884244
N:123188,7,3,5.088676331019087
N:127263,6,2,2.0338889583363198
N:68206,1,1,0.0
N:172269,7,3,5.047297210650868
N:4492,28,10,62.017179687500175
N:19493,23,9,68.06808149305289
N:25502,18,7,60.97757821759296
N:38819,21,6,34.03855115740589
N:39562,13,6,59.95473517361097
N:63998,15,7,59.95473517361097
N:91675,10,5,30.986929467595473
N:94008,6,3,4.106139108800562
N:122869,4,2,11.049187199074368
N:160235,7,3,31.068140532406687
N:86322,1,1,0.0
N:97555,12,3,4.119961226846499
N:113305,2,2,1.9739800462921266
N:233083,1,1,0.0
N:3464,27,9,62.008704942127224
N:4961,39,10,62.008704942127224
N:12146,12,5,30.983653136572684
N:15996,16,7,34.03007641203294
N:17871,27,10,61.99469287037209
N:24164,21,8,68.05960674767994
N:61644,2,2,3.1010341203655116
N:65944,17,7,34.03007641203294
