night,path,exists,mtime_utc,sha256,parse_status,parameter_line,declared_group_n,skip_reason_counts,group_started_n,group_complete_n,group_failed_n,exposure_group_membership_n,grouped_gaia_input_detection_n,common_area_survivor_detection_n,edge_shell_survivor_detection_n,static_survivor_detection_n,tracklet_n,missing_stage_group_n,duplicate_stage_line_n
20260225,/pipeline/xiaoyunao/data/heliolincrr/20260225/tracklets_linreproj/make_tracklet.log,False,,,missing,,,{},0,0,0,0,0,0,0,0,0,0,0
20260226,/pipeline/xiaoyunao/data/heliolincrr/20260226/tracklets_linreproj/make_tracklet.log,False,,,missing,,,{},0,0,0,0,0,0,0,0,0,0,0
20260227,/pipeline/xiaoyunao/data/heliolincrr/20260227/tracklets_linreproj/make_tracklet.log,False,,,missing,,,{},0,0,0,0,0,0,0,0,0,0,0
20260228,/pipeline/xiaoyunao/data/heliolincrr/20260228/tracklets_linreproj/make_tracklet.log,False,,,missing,,,{},0,0,0,0,0,0,0,0,0,0,0
20260301,/pipeline/xiaoyunao/data/heliolincrr/20260301/tracklets_linreproj/make_tracklet.log,False,,,missing,,,{},0,0,0,0,0,0,0,0,0,0,0
20260302,/pipeline/xiaoyunao/data/heliolincrr/20260302/tracklets_linreproj/make_tracklet.log,False,,,missing,,,{},0,0,0,0,0,0,0,0,0,0,0
20260303,/pipeline/xiaoyunao/data/heliolincrr/20260303/tracklets_linreproj/make_tracklet.log,True,2026-05-15T03:59:18.577821+00:00,6f4b3b7f9ad051124d5f6a81c48b3418fa62e160a0cd7a58b93130efef298655,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,61,"{""no tracklets"": 3}",61,61,0,179,85120,85120,56795,25833,2807,0,0
20260304,/pipeline/xiaoyunao/data/heliolincrr/20260304/tracklets_linreproj/make_tracklet.log,False,,,missing,,,{},0,0,0,0,0,0,0,0,0,0,0
20260305,/pipeline/xiaoyunao/data/heliolincrr/20260305/tracklets_linreproj/make_tracklet.log,False,,,missing,,,{},0,0,0,0,0,0,0,0,0,0,0
20260306,/pipeline/xiaoyunao/data/heliolincrr/20260306/tracklets_linreproj/make_tracklet.log,True,2026-05-15T04:03:47.731717+00:00,1e56fd219661b8a9ab2d6848e9936828a6b70feb2a0293416fef232544f36a88,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,108,{},108,108,0,283,135516,135516,98230,45399,3297,0,0
20260307,/pipeline/xiaoyunao/data/heliolincrr/20260307/tracklets_linreproj/make_tracklet.log,False,,,missing,,,{},0,0,0,0,0,0,0,0,0,0,0
20260308,/pipeline/xiaoyunao/data/heliolincrr/20260308/tracklets_linreproj/make_tracklet.log,True,2026-05-15T04:08:02.133846+00:00,5d212a8d000ec6ba9d5f2ea32a1c25c146310463bbfd29a05debba9e1d5d904b,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,75,"{""no tracklets"": 1}",75,75,0,215,123140,123140,91994,39687,3198,0,0
20260309,/pipeline/xiaoyunao/data/heliolincrr/20260309/tracklets_linreproj/make_tracklet.log,True,2026-05-15T04:12:58.824196+00:00,07aab78e58e57b0a1b2bc05d8862110384433a89363cead85ba7d7a8f5f447cf,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,49,{},49,49,0,182,50853,50853,32354,13395,1424,0,0
20260310,/pipeline/xiaoyunao/data/heliolincrr/20260310/tracklets_linreproj/make_tracklet.log,True,2026-05-15T04:16:58.799537+00:00,024d633e27f24941ec06ca0884986d1edc06791852c3ec81599aaee69bd33b74,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,147,{},147,147,0,451,377035,377035,328288,92717,9213,0,0
20260311,/pipeline/xiaoyunao/data/heliolincrr/20260311/tracklets_linreproj/make_tracklet.log,True,2026-05-15T04:39:45.834008+00:00,cfbb49667115c240f43d8a357b5342155a20a629ca4a1a8d73a5571fc6b89c3d,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,135,{},135,135,0,408,350829,350829,310847,86773,9031,0,0
20260312,/pipeline/xiaoyunao/data/heliolincrr/20260312/tracklets_linreproj/make_tracklet.log,False,,,missing,,,{},0,0,0,0,0,0,0,0,0,0,0
20260313,/pipeline/xiaoyunao/data/heliolincrr/20260313/tracklets_linreproj/make_tracklet.log,False,,,missing,,,{},0,0,0,0,0,0,0,0,0,0,0
20260314,/pipeline/xiaoyunao/data/heliolincrr/20260314/tracklets_linreproj/make_tracklet.log,False,,,missing,,,{},0,0,0,0,0,0,0,0,0,0,0
20260315,/pipeline/xiaoyunao/data/heliolincrr/20260315/tracklets_linreproj/make_tracklet.log,True,2026-05-15T04:56:51.406867+00:00,f52e75d06250622915d377b1d1397e3542648cfb3518bdf8dc7e6ebf8994cbc0,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,44,{},44,44,0,118,79843,79843,67388,25293,2167,0,0
20260316,/pipeline/xiaoyunao/data/heliolincrr/20260316/tracklets_linreproj/make_tracklet.log,True,2026-05-15T04:58:44.894187+00:00,a7a0a321ef644ad56e399b287adfc41a57183d663299eb330ca16923219b8189,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,43,{},43,43,0,118,82106,82106,68168,24456,2335,0,0
20260317,/pipeline/xiaoyunao/data/heliolincrr/20260317/tracklets_linreproj/make_tracklet.log,False,,,missing,,,{},0,0,0,0,0,0,0,0,0,0,0
20260318,/pipeline/xiaoyunao/data/heliolincrr/20260318/tracklets_linreproj/make_tracklet.log,True,2026-05-15T05:03:15.637714+00:00,f013e4dbb778785b07653f4b52310f578c895e698cc14d114211dfd11d72268e,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,26,{},26,26,0,81,135918,135918,126334,28060,3472,0,0
20260319,/pipeline/xiaoyunao/data/heliolincrr/20260319/tracklets_linreproj/make_tracklet.log,False,,,missing,,,{},0,0,0,0,0,0,0,0,0,0,0
20260320,/pipeline/xiaoyunao/data/heliolincrr/20260320/tracklets_linreproj/make_tracklet.log,False,,,missing,,,{},0,0,0,0,0,0,0,0,0,0,0
20260321,/pipeline/xiaoyunao/data/heliolincrr/20260321/tracklets_linreproj/make_tracklet.log,False,,,missing,,,{},0,0,0,0,0,0,0,0,0,0,0
20260322,/pipeline/xiaoyunao/data/heliolincrr/20260322/tracklets_linreproj/make_tracklet.log,False,,,missing,,,{},0,0,0,0,0,0,0,0,0,0,0
20260323,/pipeline/xiaoyunao/data/heliolincrr/20260323/tracklets_linreproj/make_tracklet.log,False,,,missing,,,{},0,0,0,0,0,0,0,0,0,0,0
20260324,/pipeline/xiaoyunao/data/heliolincrr/20260324/tracklets_linreproj/make_tracklet.log,False,,,missing,,,{},0,0,0,0,0,0,0,0,0,0,0
20260325,/pipeline/xiaoyunao/data/heliolincrr/20260325/tracklets_linreproj/make_tracklet.log,False,,,missing,,,{},0,0,0,0,0,0,0,0,0,0,0
20260326,/pipeline/xiaoyunao/data/heliolincrr/20260326/tracklets_linreproj/make_tracklet.log,False,,,missing,,,{},0,0,0,0,0,0,0,0,0,0,0
20260327,/pipeline/xiaoyunao/data/heliolincrr/20260327/tracklets_linreproj/make_tracklet.log,False,,,missing,,,{},0,0,0,0,0,0,0,0,0,0,0
20260328,/pipeline/xiaoyunao/data/heliolincrr/20260328/tracklets_linreproj/make_tracklet.log,False,,,missing,,,{},0,0,0,0,0,0,0,0,0,0,0
20260329,/pipeline/xiaoyunao/data/heliolincrr/20260329/tracklets_linreproj/make_tracklet.log,False,,,missing,,,{},0,0,0,0,0,0,0,0,0,0,0
20260330,/pipeline/xiaoyunao/data/heliolincrr/20260330/tracklets_linreproj/make_tracklet.log,True,2026-05-15T05:09:16.440153+00:00,d216ba0daaaa4770c636ddb5272226356a0aff91714a97581e00255430dd126b,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,88,"{""fewer than 2 exposures with sources after common-area cut"": 2, ""no tracklets"": 7}",88,88,0,287,56198,56198,25404,18576,1378,0,0
20260331,/pipeline/xiaoyunao/data/heliolincrr/20260331/tracklets_linreproj/make_tracklet.log,True,2026-05-15T05:12:48.820646+00:00,55a32397fcf305f573bfac8f3e9e270a0ad9da9ef05a69a1260e9da03693dc77,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,64,{},64,64,0,342,73104,73104,34692,19660,2657,0,0
20260401,/pipeline/xiaoyunao/data/heliolincrr/20260401/tracklets_linreproj/make_tracklet.log,True,2026-05-15T05:21:37.554774+00:00,6feffd5eaeb542eb84a4434162a2318d7899d9a9c938734da8fa703c38847010,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,76,{},76,76,0,363,64324,64324,30173,18695,1789,0,0
20260402,/pipeline/xiaoyunao/data/heliolincrr/20260402/tracklets_linreproj/make_tracklet.log,False,,,missing,,,{},0,0,0,0,0,0,0,0,0,0,0
20260403,/pipeline/xiaoyunao/data/heliolincrr/20260403/tracklets_linreproj/make_tracklet.log,True,2026-05-15T05:28:58.178115+00:00,438254aef496ab4d3117517521df6b962707fbff4091281331a0e9d692b8e4eb,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,49,{},49,49,0,210,79980,79980,52495,26527,2068,0,0
20260404,/pipeline/xiaoyunao/data/heliolincrr/20260404/tracklets_linreproj/make_tracklet.log,True,2026-05-15T05:33:31.270254+00:00,42008391130e10ac15103781c1f4b1c3ac4699c60889cf753b5d5911629e884a,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,22,{},22,22,0,70,29009,29009,21627,7096,729,0,0
20260405,/pipeline/xiaoyunao/data/heliolincrr/20260405/tracklets_linreproj/make_tracklet.log,True,2026-05-15T05:34:35.800611+00:00,48422788478a50d3dea1566c7a8c947546bb9a797224e7f9c73b8e50e9cfc29e,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,40,{},40,40,0,114,136671,136671,124149,36830,2427,0,0
20260406,/pipeline/xiaoyunao/data/heliolincrr/20260406/tracklets_linreproj/make_tracklet.log,True,2026-05-15T05:37:41.872756+00:00,6f521ad4b97cacc2b0ec9b4e67512cb03f0d4059d2b3b5a8a8b8ea5a22235ac3,ok,vmin=3.0 vmax=63.0 r_static=2.0 min_repeat=2 erode_pix=30 edge_pix=500 fallback_margin=0.1 hdu=1 skip_common_area=True edge_shell_min=300.0 edge_shell_max=500.0 max_tracklets_per_group=100000,105,{},105,105,0,387,393293,393293,348686,84835,8815,0,0
