metric,lower,upper,stage,eligible_object_n,survived_object_n,survival_fraction,ci95_low,ci95_high,denominator_definition
measured_aperture_magnitude,21.0,22.0,strict_linked,0,0,,,,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
measured_aperture_magnitude,21.0,22.0,fit_ok_survived,0,0,,,,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
measured_aperture_magnitude,21.0,22.0,is_good_survived,0,0,,,,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
measured_aperture_magnitude,22.0,23.0,strict_linked,0,0,,,,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
measured_aperture_magnitude,22.0,23.0,fit_ok_survived,0,0,,,,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
measured_aperture_magnitude,22.0,23.0,is_good_survived,0,0,,,,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_rate_arcsec_per_hour,3.0,5.0,strict_linked,1400,566,0.4042857142857143,0.3788747297246058,0.4302205222241896,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_rate_arcsec_per_hour,3.0,5.0,fit_ok_survived,1400,566,0.4042857142857143,0.3788747297246058,0.4302205222241896,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_rate_arcsec_per_hour,3.0,5.0,is_good_survived,1400,566,0.4042857142857143,0.3788747297246058,0.4302205222241896,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_rate_arcsec_per_hour,5.0,10.0,strict_linked,5517,3888,0.7047308319738989,0.6925547504044284,0.7166220058653566,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_rate_arcsec_per_hour,5.0,10.0,fit_ok_survived,5517,3888,0.7047308319738989,0.6925547504044284,0.7166220058653566,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_rate_arcsec_per_hour,5.0,10.0,is_good_survived,5517,3888,0.7047308319738989,0.6925547504044284,0.7166220058653566,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_rate_arcsec_per_hour,10.0,20.0,strict_linked,19867,15565,0.7834600090602507,0.7776780765414175,0.78913234380947,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_rate_arcsec_per_hour,10.0,20.0,fit_ok_survived,19867,15565,0.7834600090602507,0.7776780765414175,0.78913234380947,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_rate_arcsec_per_hour,10.0,20.0,is_good_survived,19867,15565,0.7834600090602507,0.7776780765414175,0.78913234380947,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_rate_arcsec_per_hour,20.0,30.0,strict_linked,41299,31156,0.7544008329499504,0.7502259140558418,0.7585284296604411,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_rate_arcsec_per_hour,20.0,30.0,fit_ok_survived,41299,31156,0.7544008329499504,0.7502259140558418,0.7585284296604411,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_rate_arcsec_per_hour,20.0,30.0,is_good_survived,41299,31156,0.7544008329499504,0.7502259140558418,0.7585284296604411,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_rate_arcsec_per_hour,30.0,40.0,strict_linked,30149,21706,0.7199575441971542,0.7148612955039392,0.7249977479004145,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_rate_arcsec_per_hour,30.0,40.0,fit_ok_survived,30149,21706,0.7199575441971542,0.7148612955039392,0.7249977479004145,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_rate_arcsec_per_hour,30.0,40.0,is_good_survived,30149,21706,0.7199575441971542,0.7148612955039392,0.7249977479004145,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_rate_arcsec_per_hour,40.0,50.0,strict_linked,2726,1996,0.7322083639031548,0.715267405526806,0.7484957906504983,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_rate_arcsec_per_hour,40.0,50.0,fit_ok_survived,2726,1996,0.7322083639031548,0.715267405526806,0.7484957906504983,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_rate_arcsec_per_hour,40.0,50.0,is_good_survived,2726,1996,0.7322083639031548,0.715267405526806,0.7484957906504983,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_rate_arcsec_per_hour,50.0,63.0,strict_linked,1389,1022,0.7357811375089993,0.7119662597555606,0.7582954458046561,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_rate_arcsec_per_hour,50.0,63.0,fit_ok_survived,1389,1022,0.7357811375089993,0.7119662597555606,0.7582954458046561,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_rate_arcsec_per_hour,50.0,63.0,is_good_survived,1389,1022,0.7357811375089993,0.7119662597555606,0.7582954458046561,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_direction_deg_east_through_north,0.0,45.0,strict_linked,6702,4988,0.7442554461354819,0.7336725389895661,0.7545585085389231,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_direction_deg_east_through_north,0.0,45.0,fit_ok_survived,6702,4988,0.7442554461354819,0.7336725389895661,0.7545585085389231,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_direction_deg_east_through_north,0.0,45.0,is_good_survived,6702,4988,0.7442554461354819,0.7336725389895661,0.7545585085389231,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_direction_deg_east_through_north,45.0,90.0,strict_linked,2492,1807,0.7251203852327448,0.7072552327584601,0.7422925524322525,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_direction_deg_east_through_north,45.0,90.0,fit_ok_survived,2492,1807,0.7251203852327448,0.7072552327584601,0.7422925524322525,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_direction_deg_east_through_north,45.0,90.0,is_good_survived,2492,1807,0.7251203852327448,0.7072552327584601,0.7422925524322525,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_direction_deg_east_through_north,90.0,135.0,strict_linked,5985,4530,0.7568922305764411,0.7458621167945813,0.7675927844820206,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_direction_deg_east_through_north,90.0,135.0,fit_ok_survived,5985,4530,0.7568922305764411,0.7458621167945813,0.7675927844820206,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_direction_deg_east_through_north,90.0,135.0,is_good_survived,5985,4530,0.7568922305764411,0.7458621167945813,0.7675927844820206,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_direction_deg_east_through_north,135.0,180.0,strict_linked,50396,38111,0.7562306532264466,0.7524626357511777,0.7599596110747611,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_direction_deg_east_through_north,135.0,180.0,fit_ok_survived,50396,38111,0.7562306532264466,0.7524626357511777,0.7599596110747611,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_direction_deg_east_through_north,135.0,180.0,is_good_survived,50396,38111,0.7562306532264466,0.7524626357511777,0.7599596110747611,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_direction_deg_east_through_north,180.0,225.0,strict_linked,27902,19835,0.7108809404343774,0.7055327419504623,0.716171080074237,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_direction_deg_east_through_north,180.0,225.0,fit_ok_survived,27902,19835,0.7108809404343774,0.7055327419504623,0.716171080074237,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_direction_deg_east_through_north,180.0,225.0,is_good_survived,27902,19835,0.7108809404343774,0.7055327419504623,0.716171080074237,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_direction_deg_east_through_north,225.0,270.0,strict_linked,3843,2854,0.7426489721571689,0.7285895441164598,0.7562237812998007,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_direction_deg_east_through_north,225.0,270.0,fit_ok_survived,3843,2854,0.7426489721571689,0.7285895441164598,0.7562237812998007,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_direction_deg_east_through_north,225.0,270.0,is_good_survived,3843,2854,0.7426489721571689,0.7285895441164598,0.7562237812998007,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_direction_deg_east_through_north,270.0,315.0,strict_linked,1670,1210,0.7245508982035929,0.7026277601011545,0.7454433496492355,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_direction_deg_east_through_north,270.0,315.0,fit_ok_survived,1670,1210,0.7245508982035929,0.7026277601011545,0.7454433496492355,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_direction_deg_east_through_north,270.0,315.0,is_good_survived,1670,1210,0.7245508982035929,0.7026277601011545,0.7454433496492355,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_direction_deg_east_through_north,315.0,360.0,strict_linked,3357,2564,0.763777182007745,0.7491120590652661,0.7778393076384275,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_direction_deg_east_through_north,315.0,360.0,fit_ok_survived,3357,2564,0.763777182007745,0.7491120590652661,0.7778393076384275,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
first_last_direction_deg_east_through_north,315.0,360.0,is_good_survived,3357,2564,0.763777182007745,0.7491120590652661,0.7778393076384275,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
median_detector_edge_distance_px,0.0,100.0,strict_linked,3,0,0.0,5.551115123125783e-17,0.5614970317550454,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
median_detector_edge_distance_px,0.0,100.0,fit_ok_survived,3,0,0.0,5.551115123125783e-17,0.5614970317550454,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
