night,raw_science_n,l2_mp_n,plan_n,plan_matched_raw_n,known_predicted_n,known_match1_n,known_mask15_n,known_ades_n,known_mpc_state,gaia_survivor_n,grouped_gaia_input_detection_n,edge_shell_survivor_detection_n,static_survivor_detection_n,tracklet_n,link_n,orbit_fit_n,orbit_is_good_n,unknown_n,review_real_n,submit_real_n,audit_initial_n,audit_real_n,unknown_mpc_state,quality_code,quality_reason,code_commit,input_manifest_hash,raw_all_mp_n,raw_not_in_plan_n,plan_not_acquired_n,acquired_frame_plan_compliance,planned_frame_realization,summary_known_mask15_n,masked_catalog_detection_n,link_member_n,link_all_non_known_n,orbit_fit_non_known_n,orbit_is_good_non_known_n,known_after_gaia_n,known_ge3_object_n,known_ge3_linked_object_n,summary_exists,mag_flag_prefilter_detection_n,gaia_removed_n,gaia_ok_file_n,gaia_log_file_n,gaia_status_counts,tracklet_stage_state,common_area_survivor_detection_n,tracklet_log_n,tracklet_group_n,tracklet_skip_reason_counts,primary_science_included,unknown_science_included,l2_detection_n,tracklet_count_log_minus_summary
20251218,0,0,0,0,0,0,0,0,not_run,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,no_strict_raw,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,missing,0,0,0,{},True,True,0,
20251219,0,0,0,0,0,0,0,0,not_run,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,no_strict_raw,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,missing,0,0,0,{},True,True,0,
20251220,506,506,0,0,198759,12405,13038,7810,reply_received,448723,385239,336709,105361,8130,1252,1252,1252,20,0,0,0,0,catalog_nonempty,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,506,506,0,0.0,,13038,448723,2513,20,20,20,11282,2456,1171,True,15047337,14598614,506,506,"{""ok"": 506}",ok,385239,8130,149,"{""no tracklets"": 1}",True,True,19569073,0.0
20251221,293,284,0,0,70546,2049,2136,1044,reply_received,187004,177835,151645,47724,3567,316,316,316,38,0,0,0,0,catalog_nonempty,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,293,293,0,0.0,,2136,187004,632,38,38,38,2003,326,264,True,2650373,2463369,284,284,"{""ok"": 284}",ok,177835,3567,88,"{""no tracklets"": 2}",True,True,2988451,0.0
20251222,0,0,0,0,0,0,0,0,not_run,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,no_strict_raw,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,missing,0,0,0,{},True,True,0,
20251223,306,306,0,0,139713,10134,10573,6581,reply_received,305166,254799,224111,68190,7239,1470,1470,1470,53,0,0,0,0,catalog_nonempty,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,309,306,0,0.0,,10573,305166,2944,53,53,53,9269,2087,1359,True,9287876,8982710,306,306,"{""ok"": 306}",ok,254799,7239,95,"{""no tracklets"": 1}",True,True,11584908,0.0
20251224,0,0,0,0,0,0,0,0,not_run,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,no_strict_raw,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,missing,0,0,0,{},True,True,0,
20251225,328,328,0,0,81282,5444,5673,3656,reply_received,345379,313281,281758,79494,7314,841,841,841,67,0,0,0,0,catalog_nonempty,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,328,328,0,0.0,,5673,345379,1682,67,67,67,5082,1155,731,True,8836770,8491391,328,328,"{""ok"": 328}",ok,313281,7314,109,{},True,True,11138005,0.0
20251226,627,627,0,0,157974,9133,9540,6223,reply_received,556160,554412,481608,132490,111933,1807,1774,1663,0,0,0,0,0,not_run,quarantine_unknown,high_candidate_count_366,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,627,627,0,0.0,,9540,556160,4102,398,366,276,8459,1700,1305,True,16577719,16021559,627,627,"{""ok"": 627}",ok,554412,111933,180,{},True,False,20801100,0.0
20251227,474,474,0,0,125182,6732,7006,4464,reply_received,387627,377177,320640,94139,8409,1184,1183,1183,38,0,0,0,0,catalog_nonempty,quality_ok,,d2f0057bd4cdd4c7a3c6c2431f6449a72c327284,1696aab4b60098bd8168c3ddf22814b9d09727ec11202d6fd99d7c2f1643bc58,474,474,0,0.0,,7006,387627,2387,39,38,38,6355,1404,1106,True,9132437,8744810,474,474,"{""ok"": 474}",ok,377177,8409,148,{},True,True,10698408,0.0
