field_id,exposure_n,night_n,first_night,last_night,open_shutter_s
1131,38,15,20260129,20260601,1140.0
1213,38,13,20251207,20260117,1140.0
1240,38,12,20251128,20260222,1140.0
1343,38,14,20251115,20260105,1140.0
1363,38,17,20251115,20260223,1140.0
1470,38,13,20251115,20260126,1140.0
1480,38,14,20251119,20260120,1140.0
1609,38,14,20251115,20260120,1140.0
1631,38,15,20251120,20260223,1140.0
0280,37,12,20251210,20260218,1110.0
0291,37,14,20260109,20260308,1110.0
0412,37,11,20251213,20260220,1110.0
0414,37,15,20251213,20260220,1110.0
0430,37,15,20251127,20260220,1110.0
0431,37,14,20251127,20260220,1110.0
0567,37,14,20251204,20260306,1110.0
0576,37,12,20251205,20260401,1110.0
0699,37,11,20251204,20260306,1110.0
0808,37,13,20251207,20260123,1110.0
0813,37,14,20251213,20260222,1110.0
0962,37,16,20251122,20260306,1110.0
1214,37,14,20251208,20260127,1110.0
1215,37,14,20251209,20260127,1110.0
1252,37,13,20251229,20260430,1110.0
1364,37,16,20251119,20260223,1110.0
1375,37,13,20251128,20260218,1110.0
1376,37,14,20251128,20260306,1110.0
1377,37,14,20251201,20260306,1110.0
1386,37,13,20251228,20260430,1110.0
1472,37,14,20251115,20260126,1110.0
1476,37,13,20251115,20260117,1110.0
1477,37,13,20251115,20260120,1110.0
1516,37,15,20251206,20260429,1110.0
1612,37,13,20251119,20260120,1110.0
1617,37,12,20251210,20260120,1110.0
0051,36,12,20251205,20260311,1080.0
0152,36,14,20251213,20260220,1080.0
0170,36,12,20251127,20260213,1080.0
0282,36,14,20251213,20260220,1080.0
0303,36,12,20251205,20260303,1080.0
0409,36,15,20251208,20260218,1080.0
0426,36,13,20260114,20260306,1080.0
0554,36,16,20260108,20260330,1080.0
0579,36,13,20251230,20260429,1080.0
0689,36,13,20260110,20260330,1080.0
0696,36,14,20251204,20260220,1080.0
0698,36,11,20251204,20260306,1080.0
0703,36,10,20251215,20260303,1080.0
0934,36,13,20251115,20260126,1080.0
0987,36,15,20251230,20260403,1080.0
1075,36,15,20251119,20260120,1080.0
1076,36,14,20251121,20260120,1080.0
1077,36,12,20251121,20260123,1080.0
1083,36,15,20251213,20260222,1080.0
1098,36,16,20251122,20260218,1080.0
1106,36,13,20251128,20260303,1080.0
1212,36,14,20251121,20260127,1080.0
