healpix_nside,healpix_ordering,pixel,ra_deg,dec_deg,matched_detection_n
64,RING,9683,117.42187499999999,37.16889965599944,33
64,RING,9684,118.828125,37.16889965599944,37
64,RING,9685,120.23437499999997,37.16889965599944,39
64,RING,9686,121.640625,37.16889965599944,50
64,RING,9687,123.04687499999996,37.16889965599944,52
64,RING,9688,124.45312500000001,37.16889965599944,38
64,RING,9689,125.859375,37.16889965599944,25
64,RING,9690,127.265625,37.16889965599944,12
64,RING,9691,128.671875,37.16889965599944,8
64,RING,9693,131.484375,37.16889965599944,1
64,RING,9694,132.89062499999997,37.16889965599944,1
64,RING,9695,134.296875,37.16889965599944,1
64,RING,9696,135.70312499999997,37.16889965599944,1
64,RING,9697,137.109375,37.16889965599944,7
64,RING,9698,138.51562499999997,37.16889965599944,10
64,RING,9700,141.328125,37.16889965599944,8
64,RING,9701,142.734375,37.16889965599944,4
64,RING,9702,144.140625,37.16889965599944,3
64,RING,9703,145.546875,37.16889965599944,6
64,RING,9704,146.953125,37.16889965599944,8
64,RING,9705,148.35937499999997,37.16889965599944,1
64,RING,9706,149.765625,37.16889965599944,2
64,RING,9707,151.17187499999997,37.16889965599944,1
64,RING,9709,153.984375,37.16889965599944,2
64,RING,9710,155.39062499999997,37.16889965599944,1
64,RING,9883,37.96875,36.42357364233115,2
64,RING,9888,45.0,36.42357364233115,2
64,RING,9890,47.8125,36.42357364233115,1
64,RING,9891,49.21875,36.42357364233115,4
64,RING,9892,50.62499999999999,36.42357364233115,17
64,RING,9893,52.03125,36.42357364233115,10
64,RING,9894,53.4375,36.42357364233115,29
64,RING,9895,54.84375,36.42357364233115,32
64,RING,9896,56.24999999999999,36.42357364233115,35
64,RING,9897,57.656249999999986,36.42357364233115,33
64,RING,9898,59.0625,36.42357364233115,26
64,RING,9899,60.46875,36.42357364233115,36
64,RING,9900,61.87499999999999,36.42357364233115,54
64,RING,9901,63.28125,36.42357364233115,67
64,RING,9902,64.6875,36.42357364233115,81
64,RING,9903,66.09375,36.42357364233115,39
64,RING,9904,67.5,36.42357364233115,59
64,RING,9905,68.90625,36.42357364233115,41
64,RING,9906,70.31249999999999,36.42357364233115,48
64,RING,9907,71.71874999999999,36.42357364233115,15
