night,pair_id,field_id,cycle_id,repeat,mode,planned_start_utc,actual_start_utc,time_residual_s,abs_time_residual_s,match_rule,input_manifest_hash
20260420,20260420:1249:0003,1249,1,3,normal,2026-04-20T13:09:35Z,2026-04-20T13:35:25.800000Z,1550.8,1550.8,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0980:0003,0980,1,3,normal,2026-04-20T13:10:55Z,2026-04-20T13:36:48.542000Z,1553.542,1553.542,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1383:0003,1383,1,3,normal,2026-04-20T13:12:15Z,2026-04-20T13:38:17.350000Z,1562.35,1562.35,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0846:0003,0846,1,3,normal,2026-04-20T13:13:35Z,2026-04-20T13:39:53.471000Z,1578.471,1578.471,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0712:0003,0712,1,3,normal,2026-04-20T13:14:55Z,2026-04-20T13:41:09.443000Z,1574.443,1574.443,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1116:0003,1116,1,3,normal,2026-04-20T13:16:15Z,2026-04-20T13:42:38.298000Z,1583.298,1583.298,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1250:0003,1250,1,3,normal,2026-04-20T13:17:35Z,2026-04-20T13:43:53.368000Z,1578.368,1578.368,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0981:0003,0981,1,3,normal,2026-04-20T13:18:55Z,2026-04-20T13:45:16.455000Z,1581.455,1581.455,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0847:0003,0847,1,3,normal,2026-04-20T13:20:15Z,2026-04-20T13:46:31.360000Z,1576.36,1576.36,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1384:0003,1384,1,3,normal,2026-04-20T13:21:35Z,2026-04-20T13:48:06.141000Z,1591.141,1591.141,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0713:0003,0713,1,3,normal,2026-04-20T13:22:55Z,2026-04-20T13:49:47.480000Z,1612.48,1612.48,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1517:0003,1517,1,3,normal,2026-04-20T13:24:15Z,2026-04-20T13:51:31.526000Z,1636.526,1636.526,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1117:0003,1117,1,3,normal,2026-04-20T13:25:35Z,2026-04-20T13:53:02.230000Z,1647.23,1647.23,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0855:0001,0855,2,1,normal,2026-04-20T13:26:55Z,2026-04-20T13:54:44.877000Z,1669.877,1669.877,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0721:0001,0721,2,1,normal,2026-04-20T13:28:15Z,2026-04-20T13:56:00.277000Z,1665.277,1665.277,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0588:0001,0588,2,1,normal,2026-04-20T13:29:35Z,2026-04-20T13:57:15.837000Z,1660.837,1660.837,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0990:0001,0990,2,1,normal,2026-04-20T13:30:55Z,2026-04-20T13:58:46.651000Z,1671.651,1671.651,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1125:0001,1125,2,1,normal,2026-04-20T13:32:15Z,2026-04-20T14:00:02.924000Z,1667.924,1667.924,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0856:0001,0856,2,1,normal,2026-04-20T13:33:35Z,2026-04-20T14:01:26.546000Z,1671.546,1671.546,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0722:0001,0722,2,1,normal,2026-04-20T13:34:55Z,2026-04-20T14:02:41.135000Z,1666.135,1666.135,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0589:0001,0589,2,1,normal,2026-04-20T13:36:15Z,2026-04-20T14:03:57.926000Z,1662.926,1662.926,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0991:0001,0991,2,1,normal,2026-04-20T13:37:35Z,2026-04-20T14:05:27.444000Z,1672.444,1672.444,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1126:0001,1126,2,1,normal,2026-04-20T13:38:55Z,2026-04-20T14:06:41.972000Z,1666.972,1666.972,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0857:0001,0857,2,1,normal,2026-04-20T13:40:15Z,2026-04-20T14:08:06.147000Z,1671.147,1671.147,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1260:0001,1260,2,1,normal,2026-04-20T13:41:35Z,2026-04-20T14:09:34.983000Z,1679.983,1679.983,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0723:0001,0723,2,1,normal,2026-04-20T13:42:55Z,2026-04-20T14:11:11.999000Z,1696.999,1696.999,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0590:0001,0590,2,1,normal,2026-04-20T13:44:15Z,2026-04-20T14:12:28.102000Z,1693.102,1693.102,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0992:0001,0992,2,1,normal,2026-04-20T13:45:35Z,2026-04-20T14:13:56.890000Z,1701.89,1701.89,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1127:0001,1127,2,1,normal,2026-04-20T13:46:55Z,2026-04-20T14:15:14.586000Z,1699.586,1699.586,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0858:0001,0858,2,1,normal,2026-04-20T13:48:15Z,2026-04-20T14:16:38.646000Z,1703.646,1703.646,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1261:0001,1261,2,1,normal,2026-04-20T13:49:35Z,2026-04-20T14:18:08.230000Z,1713.23,1713.23,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0724:0001,0724,2,1,normal,2026-04-20T13:50:55Z,2026-04-20T14:19:45Z,1730.0,1730.0,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
