dra_bin_center_arcsec,ddec_bin_center_arcsec,matched_n
-0.7875000000000001,-0.6125,8
-0.7875000000000001,-0.5874999999999999,6
-0.7875000000000001,-0.5625,8
-0.7875000000000001,-0.5375,6
-0.7875000000000001,-0.5125,7
-0.7875000000000001,-0.4875,9
-0.7875000000000001,-0.46249999999999997,7
-0.7875000000000001,-0.43749999999999994,8
-0.7875000000000001,-0.4124999999999999,16
-0.7875000000000001,-0.38749999999999996,10
-0.7875000000000001,-0.3625,14
-0.7875000000000001,-0.33749999999999997,15
-0.7875000000000001,-0.31249999999999994,11
-0.7875000000000001,-0.2874999999999999,23
-0.7875000000000001,-0.26249999999999996,25
-0.7875000000000001,-0.2375,14
-0.7875000000000001,-0.21249999999999997,19
-0.7875000000000001,-0.18749999999999994,19
-0.7875000000000001,-0.16249999999999992,14
-0.7875000000000001,-0.13749999999999996,19
-0.7875000000000001,-0.11249999999999999,23
-0.7875000000000001,-0.08749999999999997,15
-0.7875000000000001,-0.062499999999999944,18
-0.7875000000000001,-0.03749999999999992,19
-0.7875000000000001,-0.012499999999999956,22
-0.7875000000000001,0.012500000000000067,21
-0.7875000000000001,0.03750000000000009,18
-0.7875000000000001,0.0625,27
-0.7875000000000001,0.08750000000000002,11
-0.7875000000000001,0.11250000000000004,20
-0.7875000000000001,0.13750000000000007,20
-0.7875000000000001,0.1625000000000001,19
-0.7875000000000001,0.1875000000000001,17
-0.7875000000000001,0.21250000000000013,14
-0.7875000000000001,0.23750000000000004,17
-0.7875000000000001,0.26250000000000007,16
-0.7875000000000001,0.2875000000000001,13
-0.7875000000000001,0.3125000000000001,17
-0.7875000000000001,0.33750000000000013,12
-0.7875000000000001,0.36250000000000004,15
-0.7875000000000001,0.38750000000000007,13
-0.7875000000000001,0.4125000000000001,13
-0.7875000000000001,0.4375000000000001,15
-0.7875000000000001,0.46250000000000013,11
-0.7875000000000001,0.48750000000000004,9
-0.7875000000000001,0.5125000000000001,12
-0.7875000000000001,0.5375000000000001,13
-0.7875000000000001,0.5625000000000001,7
-0.7875000000000001,0.5875000000000001,8
-0.7875000000000001,0.6125,4
