night,field_id,cycle_id,repeat,mode,pair_id,match_status,planned_start_utc,actual_start_utc,planned_elapsed_from_repeat1_min,actual_elapsed_from_matched_repeat1_min,planned_interval_from_previous_repeat_min,actual_interval_from_previous_available_repeat_min,actual_repeat1_anchor_available,input_manifest_hash
20260420,0855,2,3,normal,20260420:0855:0003,matched,2026-04-20T14:26:55Z,2026-04-20T14:57:35.483000Z,60.0,62.84343333333334,30.0,31.413233333333334,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0721,2,1,normal,20260420:0721:0001,matched,2026-04-20T13:28:15Z,2026-04-20T13:56:00.277000Z,0.0,0.0,,,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0721,2,2,normal,20260420:0721:0002,matched,2026-04-20T13:58:15Z,2026-04-20T14:27:26.991000Z,30.0,31.44523333333333,30.0,31.44523333333333,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0721,2,3,normal,20260420:0721:0003,matched,2026-04-20T14:28:15Z,2026-04-20T14:58:51.155000Z,60.0,62.84796666666667,30.0,31.402733333333334,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0588,2,1,normal,20260420:0588:0001,matched,2026-04-20T13:29:35Z,2026-04-20T13:57:15.837000Z,0.0,0.0,,,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0588,2,2,normal,20260420:0588:0002,matched,2026-04-20T13:59:35Z,2026-04-20T14:28:44.160000Z,30.0,31.472050000000003,30.0,31.472050000000003,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0588,2,3,normal,20260420:0588:0003,matched,2026-04-20T14:29:35Z,2026-04-20T15:00:07.514000Z,60.0,62.86128333333333,30.0,31.389233333333333,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0990,2,1,normal,20260420:0990:0001,matched,2026-04-20T13:30:55Z,2026-04-20T13:58:46.651000Z,0.0,0.0,,,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0990,2,2,normal,20260420:0990:0002,matched,2026-04-20T14:00:55Z,2026-04-20T14:30:12.603000Z,30.0,31.432533333333332,30.0,31.432533333333332,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0990,2,3,normal,20260420:0990:0003,matched,2026-04-20T14:30:55Z,2026-04-20T15:01:37.219000Z,60.0,62.842800000000004,30.0,31.410266666666665,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,1125,2,1,normal,20260420:1125:0001,matched,2026-04-20T13:32:15Z,2026-04-20T14:00:02.924000Z,0.0,0.0,,,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,1125,2,2,normal,20260420:1125:0002,matched,2026-04-20T14:02:15Z,2026-04-20T14:31:27.765000Z,30.0,31.414016666666665,30.0,31.414016666666665,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,1125,2,3,normal,20260420:1125:0003,matched,2026-04-20T14:32:15Z,2026-04-20T15:02:51.146000Z,60.0,62.803700000000006,30.0,31.389683333333334,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0856,2,1,normal,20260420:0856:0001,matched,2026-04-20T13:33:35Z,2026-04-20T14:01:26.546000Z,0.0,0.0,,,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0856,2,2,normal,20260420:0856:0002,matched,2026-04-20T14:03:35Z,2026-04-20T14:32:51.683000Z,30.0,31.41895,30.0,31.41895,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0856,2,3,normal,20260420:0856:0003,matched,2026-04-20T14:33:35Z,2026-04-20T15:04:14.926000Z,60.0,62.806333333333335,30.0,31.387383333333332,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0722,2,1,normal,20260420:0722:0001,matched,2026-04-20T13:34:55Z,2026-04-20T14:02:41.135000Z,0.0,0.0,,,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0722,2,2,normal,20260420:0722:0002,matched,2026-04-20T14:04:55Z,2026-04-20T14:34:06.144000Z,30.0,31.416816666666666,30.0,31.416816666666666,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0722,2,3,normal,20260420:0722:0003,matched,2026-04-20T14:34:55Z,2026-04-20T15:05:30.546000Z,60.0,62.82351666666667,30.0,31.4067,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0589,2,1,normal,20260420:0589:0001,matched,2026-04-20T13:36:15Z,2026-04-20T14:03:57.926000Z,0.0,0.0,,,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0589,2,2,normal,20260420:0589:0002,matched,2026-04-20T14:06:15Z,2026-04-20T14:35:21.908000Z,30.0,31.3997,30.0,31.3997,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0589,2,3,normal,20260420:0589:0003,matched,2026-04-20T14:36:15Z,2026-04-20T15:06:46.046000Z,60.0,62.802,30.0,31.4023,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0991,2,1,normal,20260420:0991:0001,matched,2026-04-20T13:37:35Z,2026-04-20T14:05:27.444000Z,0.0,0.0,,,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0991,2,2,normal,20260420:0991:0002,matched,2026-04-20T14:07:35Z,2026-04-20T14:36:52.095000Z,30.0,31.41085,30.0,31.41085,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0991,2,3,normal,20260420:0991:0003,matched,2026-04-20T14:37:35Z,2026-04-20T15:08:15.676000Z,60.0,62.803866666666664,30.0,31.393016666666664,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,1126,2,1,normal,20260420:1126:0001,matched,2026-04-20T13:38:55Z,2026-04-20T14:06:41.972000Z,0.0,0.0,,,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,1126,2,2,normal,20260420:1126:0002,matched,2026-04-20T14:08:55Z,2026-04-20T14:38:07.058000Z,30.0,31.4181,30.0,31.4181,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,1126,2,3,normal,20260420:1126:0003,matched,2026-04-20T14:38:55Z,2026-04-20T15:09:30.032000Z,60.0,62.801,30.0,31.3829,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0857,2,1,normal,20260420:0857:0001,matched,2026-04-20T13:40:15Z,2026-04-20T14:08:06.147000Z,0.0,0.0,,,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0857,2,2,normal,20260420:0857:0002,matched,2026-04-20T14:10:15Z,2026-04-20T14:39:31.158000Z,30.0,31.41685,30.0,31.41685,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0857,2,3,normal,20260420:0857:0003,matched,2026-04-20T14:40:15Z,2026-04-20T15:10:54.174000Z,60.0,62.80045,30.0,31.3836,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,1260,2,1,normal,20260420:1260:0001,matched,2026-04-20T13:41:35Z,2026-04-20T14:09:34.983000Z,0.0,0.0,,,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,1260,2,2,normal,20260420:1260:0002,matched,2026-04-20T14:11:35Z,2026-04-20T14:41:00.900000Z,30.0,31.431949999999997,30.0,31.431949999999997,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,1260,2,3,normal,20260420:1260:0003,matched,2026-04-20T14:41:35Z,2026-04-20T15:12:23.733000Z,60.0,62.8125,30.0,31.380550000000003,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0723,2,1,normal,20260420:0723:0001,matched,2026-04-20T13:42:55Z,2026-04-20T14:11:11.999000Z,0.0,0.0,,,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0723,2,2,normal,20260420:0723:0002,matched,2026-04-20T14:12:55Z,2026-04-20T14:42:37.443000Z,30.0,31.424066666666665,30.0,31.424066666666665,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,0723,2,3,normal,20260420:0723:0003,matched,2026-04-20T14:42:55Z,2026-04-20T15:14:00.273000Z,60.0,62.804566666666666,30.0,31.380499999999998,True,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
