night,quality_code,unknown_science_included,unknown_mpc_state,tracklet_stage_state,l2_detection_n,mag_flag_prefilter_detection_n,gaia_survivor_n,grouped_gaia_input_detection_n,common_area_survivor_detection_n,edge_shell_survivor_detection_n,static_survivor_detection_n,tracklet_n,link_n,orbit_fit_n,orbit_is_good_n,orbit_fit_non_known_n,orbit_is_good_non_known_n,unknown_n,review_real_n,submit_real_n,audit_initial_n,audit_real_n,night_group,quality_group,postknown_unique_detection_n,retained_unique_detection_n,postknown_membership_n,postknown_unique_tracklet_n,retained_unique_tracklet_n,submission_derived_n,postaudit_derived_n
20260208,quality_ok,True,reply_received,ok,25541084,18499389,447849,435793,435793,377015,121779,11307,1504,1504,1504,92,92,92,3,3,3,3,normal,included,276,9,276,184,6,3,3
20260209,raw_without_l2;l2_missing,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260210,quality_ok,True,reply_received,ok,7109665,5766996,159392,157784,157784,139189,38330,3874,567,567,567,23,23,23,1,1,1,1,normal,included,69,3,69,46,2,1,1
20260211,quality_ok,True,catalog_nonempty,ok,11425336,9648030,455023,447769,447769,399690,104229,10268,1559,1559,1559,81,81,81,0,0,0,0,normal,included,242,0,243,162,0,0,0
20260212,quality_ok,True,catalog_nonempty,ok,6269386,5470164,267395,265043,265043,234719,87545,4229,169,169,169,15,15,15,0,0,0,0,normal,included,45,0,45,30,0,0,0
20260213,quality_ok,True,reply_received,ok,10576362,9152209,365127,350668,350668,309311,85170,9498,1596,1596,1596,107,107,107,1,1,1,1,normal,included,321,3,321,214,2,1,1
20260214,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260215,quality_ok,True,catalog_nonempty,ok,8505597,7545039,345908,321627,321627,276482,80905,7805,1129,1129,1129,42,42,42,0,0,0,0,normal,included,126,0,126,84,0,0,0
20260216,quality_ok,True,reply_received,ok,10785717,9395685,610845,569069,569069,515496,132858,14003,2183,2183,2183,70,70,70,2,2,2,2,normal,included,206,6,210,140,4,2,2
20260217,quality_ok,True,catalog_nonempty,ok,10198530,9033516,513091,503204,503204,452276,125921,12545,1832,1832,1832,127,127,127,0,0,0,0,normal,included,380,0,381,254,0,0,0
20260218,quality_ok,True,catalog_nonempty,ok,16515945,12601777,508827,473993,473993,418585,118417,11004,1520,1502,1502,67,67,67,0,0,0,0,normal,included,200,0,201,134,0,0,0
20260219,quality_ok,True,catalog_nonempty,ok,6196488,5474758,228444,211124,211124,180155,55660,6256,942,942,942,91,91,91,0,0,0,0,normal,included,273,0,273,182,0,0,0
20260220,quality_ok,True,catalog_nonempty,ok,14539462,12218632,226113,211140,211140,160119,75080,5546,571,558,558,28,28,28,0,0,0,0,normal,included,84,0,84,56,0,0,0
20260221,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260222,quality_ok,True,catalog_nonempty,ok,14557859,11683846,491640,412103,412103,364598,95027,8141,1295,1295,1295,49,49,49,0,0,0,0,normal,included,145,0,147,98,0,0,0
20260223,quality_ok,True,catalog_nonempty,ok,1294699,1159501,115756,74965,74965,70017,17427,1436,284,284,284,2,2,2,0,0,0,0,normal,included,6,0,6,4,0,0,0
20260224,quality_ok,True,true_zero_catalog,ok,735211,669087,11608,9198,9198,5024,3171,303,0,0,0,0,0,0,0,0,0,0,true_zero_catalog,included,0,0,0,0,0,0,0
20260225,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260226,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260227,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260228,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260301,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260302,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260303,quality_ok,True,catalog_nonempty,ok,3605888,3178489,86565,85120,85120,56795,25833,2807,261,261,261,9,9,9,0,0,0,0,normal,included,27,0,27,18,0,0,0
20260304,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260305,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260306,quality_ok,True,catalog_nonempty,ok,16385534,12604777,146657,135516,135516,98230,45399,3297,235,232,232,9,9,9,0,0,0,0,normal,included,27,0,27,18,0,0,0
20260307,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260308,quality_ok,True,catalog_nonempty,ok,11821656,8975526,131852,123140,123140,91994,39687,3198,242,240,240,15,15,15,0,0,0,0,normal,included,44,0,45,30,0,0,0
