field_id,exposure_n,night_n,first_night,last_night,open_shutter_s,center_ra_deg,center_dec_deg,nominal_pixel_n_nside512
1098,36,16,20251122,20260218,1080.0,100.02414122384374,26.012014614179165,741
1106,36,13,20251128,20260303,1080.0,123.2895065390174,22.87830526995817,772
1212,36,14,20251121,20260127,1080.0,40.079265024811626,21.434771886563993,778
1216,36,13,20251213,20260127,1080.0,51.22907968608785,24.41828372808912,760
1235,36,15,20251122,20260330,1080.0,108.17641121204855,27.99191489751315,777
1359,36,12,20251115,20260126,1080.0,76.45546144608046,31.126777825353656,758
1360,36,13,20251115,20260127,1080.0,79.57037093453256,31.349898557854157,755
1362,36,15,20251115,20260218,1080.0,85.83100639721289,31.6228869403998,756
1374,36,14,20251128,20260427,1080.0,122.86077357916534,28.446834451500564,777
1387,36,13,20251229,20260430,1080.0,158.9529088700975,17.72529693199539,759
1484,36,11,20251210,20260120,1080.0,50.50950856494387,29.78089741101311,758
1500,36,14,20251121,20260222,1080.0,101.08744249359545,33.990922570077224,752
1521,36,13,20251229,20260403,1080.0,162.50537691223494,19.231062782928145,759
1605,36,12,20251115,20260126,1080.0,17.59377642576093,22.17024525978596,778
1619,36,12,20251213,20260120,1080.0,58.08980922174962,34.10688273855361,772
1650,36,13,20251206,20260401,1080.0,155.7737953024552,24.688544382355385,759
1657,36,12,20251231,20260528,1080.0,174.21960907291938,17.321493757325207,759
1744,36,13,20251119,20260120,1080.0,40.99868724395342,32.94635269388805,756
1800,36,13,20260218,20260601,1080.0,208.73499515263123,5.611500337046251,792
1806,36,11,20260331,20260715,1080.0,223.87746175853786,0.2701461260437585,755
0298,35,14,20251127,20260220,1050.0,106.8095341340121,9.286090745354272,755
0433,35,12,20251204,20260303,1050.0,115.53603070110759,10.716655792140676,755
0540,35,13,20251206,20260123,1050.0,45.67561511132423,9.095860208243687,756
0818,35,14,20251223,20260202,1050.0,71.08520815991965,19.815793358743264,759
0825,35,12,20260112,20260330,1050.0,91.01861959808797,20.97180489588182,759
0834,35,11,20251204,20260306,1050.0,116.5022916012746,18.701931722982277,777
0956,35,15,20260108,20260330,1050.0,80.74924078607508,23.37800355635254,778
1087,35,11,20251217,20260201,1050.0,67.43415761718855,24.73904146404756,760
1090,35,10,20251119,20260222,1050.0,76.23087795127856,25.734341974104204,759
1108,35,13,20251203,20260303,1050.0,128.90439812841518,21.62428067563317,759
1122,35,14,20251230,20260403,1050.0,165.67425781052142,9.25091382924388,775
1124,35,15,20260101,20260528,1050.0,170.64870891190174,7.167713692630966,755
1243,35,12,20251206,20260306,1050.0,131.50719189982067,23.752932507949208,758
1336,35,12,20251115,20260120,1050.0,11.679188685074063,13.96240318078401,758
1348,35,12,20251208,20260127,1050.0,43.64971424943074,25.261885705849487,758
1349,35,12,20251209,20260127,1050.0,46.49223611665999,26.02043295149171,741
1356,35,13,20251115,20260223,1050.0,67.20911286356859,30.122261478340544,758
